100,01/17/15 22:01,-64.853711,-3.054585
100,01/18/15 04:00,-64.853797,-3.0545
100,01/18/15 10:01,-64.853711,-3.0545
100,01/18/15 16:02,-64.853797,-3.0545
100,01/18/15 22:02,-64.854226,-3.054414
100,01/19/15 04:01,-64.854226,-3.054414
100,01/19/15 10:00,-64.854484,-3.054585
100,01/29/15 22:02,-64.858432,-3.016477
100,02/02/15 04:03,-64.841437,-3.044972
100,02/02/15 10:02,-64.842038,-3.041368
100,02/02/15 16:00,-64.842124,-3.041282
100,02/15/15 22:00,-64.853797,-3.073125
100,02/16/15 04:01,-64.853282,-3.072352
100,02/16/15 10:01,-64.853282,-3.072267
100,02/17/15 04:00,-64.830709,-3.067546
100,03/10/15 10:00,-64.869332,-3.053813
100,03/10/15 16:01,-64.869332,-3.053727
100,03/10/15 22:02,-64.869246,-3.053813
100,05/12/15 16:00,-64.930959,-2.995448
100,05/12/15 22:00,-64.931045,-2.995448
100,05/13/15 04:01,-64.93628,-2.992444
100,05/13/15 10:00,-64.937568,-2.993817
100,05/13/15 16:00,-64.937482,-2.993731
100,05/13/15 22:02,-64.945893,-2.99974
100,05/24/15 10:00,-64.924006,-2.982144
100,05/24/15 16:00,-64.923835,-2.982144
100,05/24/15 22:00,-64.905725,-2.980342
100,05/25/15 04:00,-64.899459,-2.985492
100,05/25/15 10:01,-64.899373,-2.985492
100,05/25/15 16:00,-64.899373,-2.985406
100,06/02/15 04:00,-64.877658,-3.021197
100,06/02/15 10:00,-64.877658,-3.021283
100,06/02/15 16:00,-64.877744,-3.021369
100,06/02/15 22:00,-64.881949,-3.024888
100,06/30/15 16:00,-64.851394,-3.036733
100,06/30/15 22:00,-64.844956,-3.042655
100,07/25/15 16:01,-64.81895,-3.072438
100,07/25/15 22:01,-64.822726,-3.079391
100,07/26/15 04:01,-64.823499,-3.079562
100,07/26/15 10:01,-64.823499,-3.079476
100,07/26/15 16:01,-64.823413,-3.079562
100,07/26/15 22:00,-64.828906,-3.078618
